"WaterYear","Facility","Study","AcreFeet","MinutesPumping","SampleTimeLength","PrimaryDepth","PrimaryFlow","BayPump1","BayPump2","BayPump3","BayPump4","BayPump5","BuildingCode","FL","AdClip","Bay1","Bay2","Bay3","Bay4","Bay5","TotalWidth","Race","Salvage","Encounter","Entrain","Release","Loss_SalvageData","SampleDateTime","SampleDate","SampleTime","duplicateID","ArchiveID","LAD_GeneticData","GeneticAssignment","Salvage_KevinReece","Loss_GeneticData","QAQC_Loss_Difference"
1996,"SWP",0,13398,120,20,19.8,6780,TRUE,TRUE,TRUE,TRUE,FALSE,"NS",95,FALSE,21,21,43,43,0,128,"W",6,7.872421055,31.48968422,5.88,25.61,1996-01-09 07:00:00,1996-01-09,"07:00:00",1,"U960051SWP","Winter","Winter",6,25.61,0
1996,"SWP",0,14121,120,30,21.2,4520,TRUE,TRUE,TRUE,FALSE,FALSE,"NS",108,FALSE,21,21,43,0,0,85,"W",0.5,5.608273604,22.43309442,4,18.43,1996-01-25 12:00:00,1996-01-25,"12:00:00",1,"U960002SWP","Winter","Winter",4,18.43,0
1996,"SWP",0,14121,180,20,20.2,7530,FALSE,TRUE,TRUE,TRUE,TRUE,"NS",116,FALSE,0,21,43,43,21,128,"W",4.5,12.21794849,48.87179397,9,39.87,1996-01-25 10:00:00,1996-01-25,"10:00:00",1,"U960035SWP","Winter","Winter",9,39.87,0
1996,"SWP",0,10759,120,30,19.8,7530,FALSE,TRUE,TRUE,TRUE,TRUE,"NS",109,FALSE,0,21,43,43,21,128,"W",1,5.405203084,21.62081234,4,17.62,1996-01-26 09:00:00,1996-01-26,"09:00:00",1,"U960003SWP","Winter","Winter",4,17.62,0
1996,"SWP",0,9306,120,15,21.1,7530,FALSE,FALSE,TRUE,TRUE,TRUE,"NS",114,FALSE,0,0,43,43,21,107,"W",2.66666666666667,10.51094863,42.04379453,8,34.04,1996-01-27 01:00:00,1996-01-27,"01:00:00",1,"U960033SWP","Winter","Winter",8,34.04,0
1996,"SWP",0,9306,120,15,20.9,7530,FALSE,FALSE,TRUE,TRUE,TRUE,"NS",121,FALSE,0,0,43,43,21,107,"W",4,10.4854902,41.9419608,8,33.94,1996-01-27 05:00:00,1996-01-27,"05:00:00",1,"U960032SWP","Winter","Winter",8,33.94,0
1996,"SWP",0,5456,120,20,22.4,6400,FALSE,TRUE,TRUE,TRUE,FALSE,"OS",112,FALSE,0,21,43,43,0,107,"W",6,8.303278446,33.21311378,6,27.21,1996-01-31 07:00:00,1996-01-31,"07:00:00",1,"U960194SWP","Winter","Winter",6,27.21,0
1996,"SWP",0,5002,120,30,22.7,3390,FALSE,TRUE,TRUE,FALSE,FALSE,"NS",120,FALSE,0,21,43,0,0,64,"W",4,5.689048171,22.75619268,4,18.76,1996-02-26 09:00:00,1996-02-26,"09:00:00",1,"U960056SWP","Winter","Winter",4,18.76,0
1996,"SWP",0,5875,60,10,23.8,7530,FALSE,FALSE,TRUE,TRUE,TRUE,"NS",123,FALSE,0,0,43,43,21,107,"W",6,8.116843965,32.46737586,6,26.47,1996-03-05 01:00:00,1996-03-05,"01:00:00",1,"U960097SWP","Winter","Winter",6,26.47,0
1996,"SWP",0,11443,120,30,22.2,5650,TRUE,TRUE,TRUE,FALSE,FALSE,"NS",147,FALSE,21,21,43,0,0,85,"W",2,5.395471321,21.58188528,4,17.58,1996-03-31 07:00:00,1996-03-31,"07:00:00",1,"U960131SWP","Winter","Winter",4,17.58,0
1996,"SWP",0,4942,180,30,21.6,4520,FALSE,TRUE,TRUE,FALSE,FALSE,"NS",98,FALSE,0,21,43,0,0,64,"S",6,7.580332663,30.32133065,5.88,24.44,1996-04-03 08:00:00,1996-04-03,"08:00:00",1,"U960187SWP","Spring","Winter",6,24.44,0
1997,"CVP",0,8320,120,10,20.1,4221,TRUE,TRUE,TRUE,TRUE,FALSE,"F",108,FALSE,21,21,43,43,0,84,"W",6,16.83619783,19.80729156,12,7.81,1996-12-12 18:00:00,1996-12-12,"18:00:00",1,"U960023CVP","Winter","Winter",12,7.81,0
1997,"SWP",0,6688,420,420,21.3,2260,TRUE,TRUE,FALSE,FALSE,FALSE,"NS",136,FALSE,21,21,0,0,0,42,"W",0.5,1.400028921,5.600115683,1,4.6,1997-03-15 15:00:00,1997-03-15,"15:00:00",1,"U970018SWP","Winter","Winter",1,4.6,0
1997,"SWP",0,5103,240,240,21.7,3390,FALSE,TRUE,TRUE,FALSE,FALSE,"NS",101,FALSE,0,21,43,0,0,64,"S",0.25,1.409778348,5.639113391,1,4.64,1997-03-21 01:00:00,1997-03-21,"01:00:00",1,"U970055SWP","Spring","Winter",1,4.64,0
1997,"SWP",0,5103,240,240,21.7,3390,FALSE,TRUE,TRUE,FALSE,FALSE,"NS",112,FALSE,0,21,43,0,0,64,"W",0.25,1.409778348,5.639113391,1,4.64,1997-03-21 01:00:00,1997-03-21,"01:00:00",1,"U970056SWP","Winter","Winter",1,4.64,0
1997,"SWP",0,6695,300,300,21.9,3390,FALSE,TRUE,TRUE,FALSE,FALSE,"NS",107,FALSE,0,21,43,0,0,64,"S",0.166666666666667,1.412348253,5.649393011,1,4.65,1997-03-23 05:00:00,1997-03-23,"05:00:00",1,"U970038SWP","Spring","Winter",1,4.65,0
1997,"CVP",0,8583,120,10,16.4,3423,TRUE,TRUE,TRUE,TRUE,FALSE,"F",105,FALSE,21,21,43,43,0,84,"F",12,16.8570725,19.83185,12,7.83,1997-09-14 00:00:00,1997-09-14,"00:00:00",1,"U973169CVP","Fall","Winter",12,7.83,0
1998,"SWP",0,11595,120,30,20.2,2260,FALSE,FALSE,TRUE,FALSE,FALSE,"NS",123,FALSE,0,0,43,0,0,43,"LF",4,5.565997051,22.2639882,4,18.26,1997-11-19 15:00:00,1997-11-19,"15:00:00",1,"U971665SWP","LateFall","Winter",4,18.26,0
