"min_date","median_date","max_date","water_year"
1996-01-09,1996-01-27,1996-04-03,1996
1996-12-12,1997-03-21,1997-03-23,1997
1997-09-14,1997-12-12,1998-03-24,1998
1998-10-25,1999-03-16,1999-04-07,1999
1999-11-22,2000-02-24,2000-04-03,2000
2000-11-06,2001-03-07,2001-04-26,2001
2001-12-20,2002-03-07,2002-04-07,2002
2002-12-23,2003-03-04,2003-04-08,2003
2003-12-26,2004-03-01,2004-03-30,2004
2005-12-20,2006-03-01,2006-03-28,2006
2006-12-30,2007-03-03,2007-03-29,2007
2008-01-26,2008-03-11,2008-04-10,2008
2009-02-23,2009-03-09,2009-03-28,2009
2009-12-08,2010-03-05,2010-04-04,2010
2010-12-06,2011-03-11,2011-03-29,2011
2012-02-14,2012-03-10,2012-04-02,2012
2012-12-13,2013-03-09,2013-03-28,2013
2014-03-03,2014-03-11,2014-03-19,2014
2016-01-28,2016-02-09,2016-02-22,2016
2018-03-06,2018-03-22,2018-04-07,2018
2019-01-18,2019-02-23,2019-04-22,2019
2020-03-06,2020-03-19,2020-04-24,2020
2021-03-08,2021-03-08,2021-03-08,2021
